video_id,sent_comment,comment_text,author,date,time
Wmy5TQQPQho,neutral,❤,@rockyjohnson2511,2025-05-31,18:29:32
Wmy5TQQPQho,neutral,Hài vc,@sungchusinh,2025-05-31,16:43:21
Wmy5TQQPQho,neutral,"game này hay nè, hóng hóng",@dg.luceff2004,2025-05-31,12:10:06
Wmy5TQQPQho,neutral,❤,@nguoianam,2025-05-30,15:44:47
Wmy5TQQPQho,neutral,Cuối cùng anh tôi cũng chơi game này,@lehoangtuuc8713,2025-05-30,12:09:56
Wmy5TQQPQho,neutral,❤,@rockyjohnson2511,2025-05-31,18:29:32
Wmy5TQQPQho,neutral,Hài vc,@sungchusinh,2025-05-31,16:43:21
Wmy5TQQPQho,neutral,"game này hay nè, hóng hóng",@dg.luceff2004,2025-05-31,12:10:06
Wmy5TQQPQho,neutral,❤,@nguoianam,2025-05-30,15:44:47
Wmy5TQQPQho,neutral,Cuối cùng anh tôi cũng chơi game này,@lehoangtuuc8713,2025-05-30,12:09:56
Wmy5TQQPQho,negative,❤,@rockyjohnson2511,2025-05-31,18:29:32
Wmy5TQQPQho,negative,Hài vc,@sungchusinh,2025-05-31,16:43:21
Wmy5TQQPQho,negative,"game này hay nè, hóng hóng",@dg.luceff2004,2025-05-31,12:10:06
Wmy5TQQPQho,negative,❤,@nguoianam,2025-05-30,15:44:47
Wmy5TQQPQho,negative,Cuối cùng anh tôi cũng chơi game này,@lehoangtuuc8713,2025-05-30,12:09:56
Wmy5TQQPQho,neutral,❤,@rockyjohnson2511,2025-05-31,18:29:32
Wmy5TQQPQho,neutral,Hài vc,@sungchusinh,2025-05-31,16:43:21
Wmy5TQQPQho,neutral,"game này hay nè, hóng hóng",@dg.luceff2004,2025-05-31,12:10:06
Wmy5TQQPQho,neutral,❤,@nguoianam,2025-05-30,15:44:47
Wmy5TQQPQho,neutral,Cuối cùng anh tôi cũng chơi game này,@lehoangtuuc8713,2025-05-30,12:09:56
