video_id,comment_text,author,date,time
Wmy5TQQPQho,❤,@rockyjohnson2511,2025-05-31,18:29:32
Wmy5TQQPQho,Hài vc,@sungchusinh,2025-05-31,16:43:21
Wmy5TQQPQho,"game này hay nè, hóng hóng",@dg.luceff2004,2025-05-31,12:10:06
Wmy5TQQPQho,❤,@nguoianam,2025-05-30,15:44:47
Wmy5TQQPQho,Cuối cùng anh tôi cũng chơi game này,@lehoangtuuc8713,2025-05-30,12:09:56
G5lS6O7j4RI,"In Game, vua của mọi nghề 😅😅",@thanhchelsea8753,2025-06-01,00:13:53
G5lS6O7j4RI,anh em mình cứ thế thôii hẹ hẹ hẹ,@hnahle-816,2025-05-31,20:31:45
G5lS6O7j4RI,28:35 còn thiếu phần bốc phét 100/100 nữa anh ơi 🤣,@amegafuri,2025-05-31,18:42:22
G5lS6O7j4RI,oh,@leonad8416,2025-05-31,17:47:41
G5lS6O7j4RI,t,@idolhuan9308,2025-05-31,17:09:41
46B-rfCAW4E,Trời tiếng game giống tiếng chuông ở nha quá tưởng shipper bấm chuông chạy ra ngoài nhìn :)))),@yennhitrannguyen5657,2025-05-25,03:40:08
46B-rfCAW4E,Con mắt tượng trưng có cái nhìn sự phán xét của xã hội,@nguyentrung9133,2025-05-15,16:14:33
46B-rfCAW4E,anh lam thêm mấy phần nữa đi hay quá,@quythanh7931,2025-05-15,15:49:30
46B-rfCAW4E,"Mong chú chơi hết series brokenlore, nó có mấy phần đấy chú",@MinhPham-mw7mr,2025-05-14,17:28:25
46B-rfCAW4E,34:22,@KimngânHuỳnh-w9o6p,2025-05-14,07:33:29
w-Ed_FP_Jbw,Đệt đang ăn cơm coi 17:07 thấy cơm dở hẵn đi,@lenhatkhoa9122,2025-05-24,12:47:55
w-Ed_FP_Jbw,Có khi nào đang đi bị ma vếu dài hấp diêm hong,@huynhlong224,2025-05-24,12:09:26
w-Ed_FP_Jbw,Trà vinh quê t luôn 😂,@LewisNgUnknow,2025-05-22,03:53:59
w-Ed_FP_Jbw,Mịa quả jumscare phút 26 làm t hoảng vc,@quocbaole6747,2025-05-20,01:23:16
w-Ed_FP_Jbw,Đang tua nhanh tự nhiên lao lên cái giật cả mình 😂,@TuanNguyen-qo7gs,2025-05-17,12:21:48
u1wM5l5nyYw,"Khởi động lại Alan Wake 2 đi anh ơi, bảo sẽ chơi lại mà mấy hôm đã quên rồi.",@amegafuri,2025-05-30,18:52:44
u1wM5l5nyYw,game 1 hay mà ông lại tắt đoạn chat trực tiếp là thế méo nafoooo,@trinhtuankiet3442,2025-05-28,14:49:25
u1wM5l5nyYw,Rất nhiều ca 😂 nhưng mỗi ca 30p,@Omachi1993,2025-05-28,13:35:17
u1wM5l5nyYw,"""Video này không có tùy chọn phát lại cuộc trò chuyện trực tiếp"" :((( Lão ơi bật lênnn",@TungTran-hl8cc,2025-05-28,12:46:05
u1wM5l5nyYw,chơi blue prince đi anh,@anhquangnguyen5973,2025-05-27,22:32:25
nP73z-EJjJQ,hay,@HoangNguyen-dl2tx,2025-05-29,16:17:27
nP73z-EJjJQ,Game mới demo thôi mà jumpscare cũng sợ phết,@nikodz-v9w,2025-05-27,16:47:56
nP73z-EJjJQ,❤❤❤,@LinhNguyen-xi5ps,2025-05-26,13:34:38
nP73z-EJjJQ,haha,@JanuaryJone,2025-05-25,19:58:59
nP73z-EJjJQ,ổng hay bàn sang chuyện khác khi choi flop,@anngo2097,2025-05-25,08:48:54
U6pwzBUOQ_I,"bao giờ mới có game kinh dị đến từ Campuchia, Lào, nhể",@ucduynguyen4525,2025-05-19,08:21:25
U6pwzBUOQ_I,Quay lén trúng lúc em ấy đang thông tắc cống🌚,@Professional113,2025-05-16,07:37:41
U6pwzBUOQ_I,"44:32 nhìn sang bên phải thấy giống Home sweet home quá ạ
1:04:51 đọc nhầm xong chửi AI 😂",@Hikaru_Kagayaki,2025-05-13,13:41:31
U6pwzBUOQ_I,"Anh chơi thử con quarantine zone đi anh, hay lắm",@AkaiTakeda-r8n,2025-05-04,13:40:33
U6pwzBUOQ_I,Xem nhưng clip của a dũng từ 2016 tới h,@minhquanvo1274,2025-05-02,12:25:06
qPxs8zX7q-0,hi,@ThanhVu-kt7xz,2025-05-30,17:32:07
qPxs8zX7q-0,a làm quả seri về teamup đi bắn nhau với mấy con zoombie đi a,@hieule-cc2ml,2025-05-24,17:51:38
qPxs8zX7q-0,"😂 với tất cả suy đoán, a 3 chết 1 cách không bao giờ ngờ đến được",@tuongkane7073,2025-05-22,12:27:03
qPxs8zX7q-0,❤,@rockyjohnson2511,2025-05-21,11:33:03
qPxs8zX7q-0,này gióng this war of mine mà anh dũng từng chơi nhỉ.. cái kia thế chiến .. cái này zombie,@TruongPham-uv1tl,2025-05-21,01:15:08
g9hX4zCz1Og,,,,
pMHrbRweb6M,hell paradise,@heoheo9272,2025-05-28,17:17:33
pMHrbRweb6M,Kỹ năng của anh cao thật 😮❤👏,@minhtoanle2743,2025-05-26,14:49:45
pMHrbRweb6M,11:35 vcl kể chuyện,@Hoàng_Vũ_Trần,2025-05-26,14:41:36
pMHrbRweb6M,Còn tui thì nghĩ split fiction dễ goty hơn,@Tach7407,2025-05-22,15:37:32
pMHrbRweb6M,Con mẹ mấy ông ai hỏi 33:12  mà tự dưng xung phong tóm tắt vậy??? Spoil vl bực,@rokku1708,2025-05-21,18:42:32
rlJWXmZCCDE,Dũng hài vãi chưởng e,@bimat1nghin,2025-05-31,05:51:57
rlJWXmZCCDE,K so sánh nha bro mỗi ng có thế mạnh riêng,@phucauquan8571,2025-05-31,03:03:01
rlJWXmZCCDE,k nghi team hon dau,@AnLêthành-p9w,2025-05-27,12:48:51
rlJWXmZCCDE,tấu hài của mĩigamer,@minhtri2014-r1n,2025-05-27,03:28:07
rlJWXmZCCDE,"So sánh kiểu này ko vui đâu, thật á 😅",@cternguythuan750,2025-05-25,04:07:41
CAzS_soXk4s,game l ko biết ai là quỷ luôn,@dangnguyenhuu9414,2025-05-27,19:21:17
CAzS_soXk4s,Anh thử chơi game wuthering Waves thử xem,@TháiBảoNguyễnNgọc-f1d,2025-05-27,15:33:11
CAzS_soXk4s,Đọc title tưởng dmc :v,@NDA766,2025-05-26,14:48:48
CAzS_soXk4s,Chơi tiếp nào lão ơi,@haugiangmotovlog3839,2025-05-23,14:32:55
CAzS_soXk4s,ultra-nightmare: giấc mơ đẹp 😂😂😂😂,@ThangNguyen-op3yt,2025-05-23,13:57:22
KUOyHE7f6aA,hi,@ThanhVu-kt7xz,2025-05-30,17:31:50
KUOyHE7f6aA,tập tiếp theo sếp dẽo,@PhongNguyen-bg8bl,2025-05-20,15:47:05
KUOyHE7f6aA,Bh chơi tiếp v a hóng quá 🎉,@nhacuatien1931,2025-05-18,10:04:49
KUOyHE7f6aA,Xem ông Dũng chơi game cũng vui nhưng ông này chơi game bỏ xót nhiều thứ quá phí công mấy ông làm game,@Tuan_Vip,2025-05-18,04:13:07
KUOyHE7f6aA,Pc của anh cấu hình sao vậy ạ,@thinhmai3875,2025-05-17,06:52:50
-1ta-B1lA3s,3:58:54 dí anh tôi vl🙃,@mugentsukuyomi4197,2025-05-31,14:41:41
