video_id,date,time,negative_pct,neutral_pct,positive_pct,total_comments
-1ta-B1lA3s,2025-04-20,19:02:09,20.0,40.0,40.0,5.0
1Jjj_bitQyA,2020-06-30,03:00:00,0.0,80.0,20.0,5.0
46B-rfCAW4E,2025-05-07,16:31:18,0.0,100.0,0.0,5.0
7aJnShgDJcA,2024-12-17,17:58:32,0.0,80.0,20.0,5.0
CAzS_soXk4s,2025-05-15,16:53:54,40.0,60.0,0.0,5.0
E9j-Rf6aShI,2023-08-27,15:34:00,20.0,60.0,20.0,5.0
G5lS6O7j4RI,2025-05-30,17:48:58,20.0,80.0,0.0,5.0
GCp8X2o3tQc,2024-09-17,09:02:25,0.0,100.0,0.0,5.0
GHJOAA5Trh8,2025-05-11,08:44:43,0.0,33.33333333333333,66.66666666666666,3.0
HAN2BYH53d8,2024-03-23,17:37:01,0.0,60.0,40.0,5.0
JYSq80P6C3o,2025-01-07,17:11:37,20.0,60.0,20.0,5.0
KUOyHE7f6aA,2025-05-04,17:17:09,20.0,80.0,0.0,5.0
RjZc2kAuZlE,2022-10-27,10:04:27,0.0,60.0,40.0,5.0
U6pwzBUOQ_I,2025-04-17,16:47:48,20.0,60.0,20.0,5.0
V6DewUcZzKQ,2020-06-24,16:41:34,20.0,40.0,40.0,5.0
Wmy5TQQPQho,2025-05-27,16:31:12,40.0,60.0,0.0,5.0
b37bdtitay0,2025-03-02,19:47:15,40.0,60.0,0.0,5.0
g9hX4zCz1Og,2025-05-30,00:18:15,0.0,100.0,0.0,1.0
gLilIX5jtLY,2025-01-14,16:25:22,20.0,80.0,0.0,5.0
nP73z-EJjJQ,2025-05-18,18:17:50,20.0,60.0,20.0,5.0
nwKHE6M5tQk,2025-03-19,17:06:55,60.0,40.0,0.0,5.0
ojG2MtVBvxo,2025-01-22,17:09:42,0.0,80.0,20.0,5.0
pMHrbRweb6M,2025-04-29,05:49:47,0.0,100.0,0.0,5.0
qPxs8zX7q-0,2025-05-11,17:05:24,0.0,100.0,0.0,5.0
rlJWXmZCCDE,2023-08-22,15:01:11,0.0,100.0,0.0,5.0
u1wM5l5nyYw,2025-05-21,18:27:46,40.0,60.0,0.0,5.0
w-Ed_FP_Jbw,2025-04-13,16:11:01,0.0,100.0,0.0,5.0
wrXf-5OZ4Bo,2025-02-14,15:29:07,50.0,50.0,0.0,4.0
zJyCGyoAKlM,2024-10-23,18:28:10,40.0,60.0,0.0,5.0
zQpNa1VImS0,2024-12-05,17:05:14,40.0,60.0,0.0,5.0
