video_id,channel_title,title,viewCount,likeCount,commentCount,date,time
Wmy5TQQPQho,Trực Tiếp Game,TÔI LÀM NHÂN VIÊN KIỂM DỊCH: PHÁT HIỆN ZOMBIE &amp; CÁI KẾT BẤT NGỜ !!! - Quarantine Zone The Last Check,312665,7541,249,2025-05-27,16:31:12
G5lS6O7j4RI,Trực Tiếp Game,GAME GIẢ LẬP BÁN XE CŨ... NÁT NHƯ CHÁO CHÓ &amp; CÁI KẾT TÔI SUÝT PHÁ SẢN =))) - Car Dealer Simulator #1,197484,5620,130,2025-05-30,17:48:58
46B-rfCAW4E,Trực Tiếp Game,"ĐỪNG MỞ CỬA, MỤ ẤY LÀ QUÁI VẬT ĐẤY !!! GAME KINH DỊ MỚI SIÊU... DỊ - BrokenLore DON&#39;T WATCH",361042,8400,167,2025-05-07,16:31:18
w-Ed_FP_Jbw,Trực Tiếp Game,CHƠI THỬ GAME KINH DỊ VIỆT NAM - ĐỒNG CỎ LAU !!! MA MIỀN TÂY ĐÁNG SỢ THẬT !!!,397265,9805,496,2025-04-13,16:11:01
u1wM5l5nyYw,Trực Tiếp Game,HÉ LỘ DỰ ÁN CHẾT YỂU: THẦN TRÙNG 2...,284958,7285,281,2025-05-21,18:27:46
nP73z-EJjJQ,Trực Tiếp Game,GAME GIẢ LẬP LÁI TAXI ĐÊM GẶP MA !!! EM NÓ NGỒI CẠNH TÔI LUÔN =))) - AM DEMO,268424,7133,187,2025-05-18,18:17:50
U6pwzBUOQ_I,Trực Tiếp Game,OAN HỒN #1: SỞN TÓC GÁY VỚI GAME KINH DỊ TỚI TỪ SINGAPORE !!! - SCARRED,446595,9055,216,2025-04-17,16:47:48
qPxs8zX7q-0,Trực Tiếp Game,NỮ SINH SỐNG SÓT GIỮA BẦY ZOMBIE KHÁT MÁU !!! GAME SURVIVAL ĐANG HOT TRÊN STEAM - INTO THE DEAD #1,331554,6823,202,2025-05-11,17:05:24
g9hX4zCz1Og,Live Stream Game VietNam,🔴 LIVE Gym 🔴 Trực Tiếp Game Hôm Nay 2025,10,0,0,2025-05-30,00:18:15
pMHrbRweb6M,Trực Tiếp Game,CHƠI THỬ GAME BOM TẤN ỨNG VIÊN GOTY 2025 ĐANG GÂY SỐT TRÊN STEAM!!! - Clair Obscur: Expedition 33 #1,394489,8233,410,2025-04-29,05:49:47
rlJWXmZCCDE,BattleCharacterVNShort,Trực Tiếp Game vs Mixigaming #battleVNcharactershort,121946,2231,387,2023-08-22,15:01:11
CAzS_soXk4s,Trực Tiếp Game,ĐẾN QUỶ DỮ CŨNG PHẢI KHÓC THÉT !!! CHƠI THỬ GAME HÀNH ĐỘNG KHỦNG NHẤT 2025 - DOOM: THE DARK AGE #1,251062,5934,205,2025-05-15,16:53:54
KUOyHE7f6aA,Trực Tiếp Game,"GAME NÀY BOSS KHỦNG NHƯ GOD OF WAR, TÔI THỰC SỰ CHOÁNG NGỢP !!! - Clair Obscur: Expedition 33 #2",244517,5265,234,2025-05-04,17:17:09
-1ta-B1lA3s,Trực Tiếp Game,OAN HỒN #2 END: BI KỊCH NỮ SINH BỊ QUAY TRỘM VÀ TUNG LÊN MẠNG !!! 4 TIẾNG CHƠI TÝ GỤC =))) - SCARRED,286866,6215,217,2025-04-20,19:02:09
RjZc2kAuZlE,Phú,Sếp Dũng CT và lò luyện thi cấp tốc | Trực Tiếp Game,40248,976,29,2022-10-27,10:04:27
wrXf-5OZ4Bo,TTG Gaming,con ma kiên nhẫn nhất quả đất =))) cre:Trực Tiếp Game #dungct #tructiepgame #homesweethome,30484,847,55,2025-02-14,15:29:07
ojG2MtVBvxo,Trực Tiếp Game,KIM TỰ THÁP MA ÁM &amp; TIKTOKER THỦY TỔ !!! Ae ÁC LẮM mới gợi ý cho tôi game này !!! - AMENTI #1,371270,8475,215,2025-01-22,17:09:42
b37bdtitay0,Trực Tiếp Game,"KINGDOM COME: Deliverance 2 #7: 5 TIẾNG TRY HARD, TÔI CÓ SÚNG VÀ CÁI KẾT CHÚNG SINH BÌNH ĐẲNG =))))",356898,6564,312,2025-03-02,19:47:15
zQpNa1VImS0,Trực Tiếp Game,TÊN SÁT NHÂN NÀY CÓ THẬT NGOÀI ĐỜI !? LÂU LẮM MỚI CÓ GAME KINH DỊ HÒ HÉT LẮM THẾ !!!,461171,10085,237,2024-12-05,17:05:14
nwKHE6M5tQk,Trực Tiếp Game,ASSASSIN&#39;S CREED SHADOWS #1: SAMURAI DA MÀU ĐẦU TIÊN CỦA NHẬT BẢN !!! Game ĐẸP TUYỆT VỜI !!!,407446,8456,445,2025-03-19,17:06:55
V6DewUcZzKQ,Trực Tiếp Game,GAME RÙNG RỢN BUỒN CƯỜI GẤP 10 LẦN GAME HÀI !!! Vũ &amp; Đạt vào nông trại gà bị TRÚNG TÀ =)))),673939,16159,214,2020-06-24,16:41:34
7aJnShgDJcA,Trực Tiếp Game,(Kinh dị) TÔI LÀM TESTER CHO TRÒ CHƠI BỊ QUỶ ÁM !!! - DEBUG DEADLINE #1,419501,9380,232,2024-12-17,17:58:32
zJyCGyoAKlM,Trực Tiếp Game,TAI ƯƠNG - CHƠI THỬ GAME KINH DỊ ĐẸP NHẤT CỦA VIỆT NAM !!! QUÁ DARK VÀ ÁM ẢNH !!! - The Scourge,1263063,21110,1055,2024-10-23,18:28:10
GCp8X2o3tQc,Trực Tiếp Game,Fears to Fathom - Woodbury Getaway #1: THUÊ NHẦM NHÀ TRỌ CÓ NGƯỜI TỪNG CHẾT OAN &amp; CÁI KẾT !!!,479299,9828,262,2024-09-17,09:02:25
gLilIX5jtLY,Trực Tiếp Game,THỬ CHƠI GAME KINH DỊ Ở MỨC KHÓ CAO NHẤT &amp; CÁI KẾT =)))) - CROWDED. FOLLOWED.,310801,7808,179,2025-01-14,16:25:22
1Jjj_bitQyA,Trực Tiếp Game,Stigmatized Property #1: PHÒNG TRỌ MA ÁM VÀ CHÀNG SINH VIÊN BẤT HẠNH !!!,291386,8103,300,2020-06-30,03:00:00
JYSq80P6C3o,Trực Tiếp Game,GAME GIẢ LẬP ĐỨA CON MẤT DẠY =)))) BỐ MẸ CHÂU Á QUÁ KHẮC NGHIỆT AE Ạ !!! - SchoolBoy Runaway,437935,9758,161,2025-01-07,17:11:37
E9j-Rf6aShI,Trực Tiếp Game,STREAMER BỊ VIEWER SÁT HẠI !!! GAME KINH DỊ MỚI CỦA CHILLA&#39;S ART SỢ THẬT !!! - Parasocial | パラソーシャル,630402,13489,829,2023-08-27,15:34:00
HAN2BYH53d8,Trực Tiếp Game,CHUYẾN TÀU MA QUỶ !!! GAME KINH DỊ VIỆT HÓA MỚI RA MẮT CỦA CHILLA&#39;S ART !!! - Shinkansen 0 | 新幹線 0号,354829,8284,535,2024-03-23,17:37:01
GHJOAA5Trh8,TTG Gaming,người làm chó hưởng=))) cre:Trực Tiếp Game #dungct #tructiepgame #fridaythe13ththegame,4116,69,7,2025-05-11,08:44:43
